0 0 0 0		1.0356 0.5
0 0 0 1		1.0669 -5.8
0 0 0 2		1.0320 0.7
0 0 0 3		0.9336 -3.2
0 0 0 4		1.0410 -8.0
0 0 0 5		1.0607 -3.7
0 0 0 6		1.0384 -3.5
0 0 0 7		0.9486 -5.6
0 0 0 8		1.0285 -7.7
0 0 0 9		1.0791 -10.7
0 0 0 10		1.0190 -3.3
0 0 0 11		1.0190 -3.3
0 0 0 12		0.9309 -8.4
0 0 0 13		1.0180 -5.3
0 0 0 14		1.0538 -5.5
0 0 0 15		1.0216 -5.2
0 0 0 16		0.8968 -7.3
0 0 0 17		1.0122 -6.7
0 0 0 18		1.0332 -3.7
0 0 0 19		1.0294 -8.3
0 0 0 20		0.9015 -7.9
0 0 0 21		1.0199 -6.2
0 0 0 22		1.0199 -6.2
0 0 0 23		1.0427 -4.4
0 0 0 24		1.0181 -4.0
0 0 0 25		0.8773 -3.8
0 0 0 26		1.0153 -3.7
0 0 0 27		1.0426 -3.3
0 0 0 28		1.0212 -3.3
0 0 0 29		0.9082 -8.3
0 0 0 30		1.0181 -2.7
0 0 0 31		1.0408 0.3
0 0 0 32		1.0199 -3.9
0 0 0 33		0.8909 -5.7
0 0 0 34		1.0370 -1.2
0 0 0 35		1.0515 2.6
0 0 0 36		1.0276 -2.4
0 0 0 37		0.9026 -2.0
0 0 0 38		1.0275 -1.3
0 0 0 39		1.0451 -1.7
0 0 0 40		1.0248 -2.1
0 0 0 41		0.9022 -5.4
0 0 0 42		1.0303 -9.0
0 0 0 43		1.0488 -6.6
0 0 0 44		1.0197 -4.2
0 0 0 45		1.0197 -4.2
0 0 0 46		0.9225 -15.7
0 0 0 47		1.0190 -4.6
0 0 0 48		1.0345 -6.2
0 0 0 49		1.0197 -6.5
0 0 0 50		0.8976 -6.7
0 0 0 51		1.0250 -10.3
0 0 0 52		1.0445 -8.1
0 0 0 53		1.0176 -7.6
0 0 0 54		0.9126 -9.0
0 0 0 55		0.8551 -6.2
0 0 0 56		0.8551 -6.2
0 0 0 57		1.0622 -13.8
0 0 0 58		0.8722 -6.8
0 0 0 59		1.0589 -7.4
0 0 0 60		0.8727 -11.4
0 0 0 61		1.0544 -5.3
0 0 0 62		0.8689 -4.6
0 0 0 63		1.0511 -6.1
0 0 0 64		0.8742 -3.3
0 0 0 65		1.0524 -4.3
0 0 0 66		0.8839 -7.0
0 0 0 67		1.0499 -0.8
0 0 1 0		1.0018 1.3
0 0 1 1		1.0030 -0.1
0 0 1 2		0.9825 -2.8
0 0 1 3		0.8559 -8.5
0 0 1 4		0.9763 -7.2
0 0 1 5		0.9451 -5.9
0 0 1 6		0.9869 -11.2
0 0 1 7		0.9869 -11.2
0 0 1 8		0.9778 -7.4
0 0 1 9		0.9240 -6.1
0 0 1 10		0.9835 -6.4
0 0 1 11		0.9835 -6.4
0 0 1 12		0.8557 -9.8
0 0 1 13		0.9833 -7.0
0 0 1 14		0.9927 -9.3
0 0 1 15		0.9855 -5.4
0 0 1 16		0.8866 -15.0
0 0 1 17		0.9842 -9.5
0 0 1 18		0.9923 -7.4
0 0 1 19		0.9869 -6.3
0 0 1 20		0.8593 -9.0
0 0 1 21		0.9764 -6.9
0 0 1 22		0.9764 -6.9
0 0 1 23		0.9931 -8.0
0 0 1 24		0.9964 -7.2
0 0 1 25		0.8812 -7.1
0 0 1 26		0.9915 -4.6
0 0 1 27		1.0049 -8.1
0 0 1 28		0.9859 -5.0
0 0 1 29		0.8678 -8.3
0 0 1 30		0.9925 -2.6
0 0 1 31		0.9933 -3.2
0 0 1 32		0.9878 2.0
0 0 1 33		0.8884 -8.6
0 0 1 34		1.0047 -2.4
0 0 1 35		1.0138 -6.0
0 0 1 36		0.9987 -2.1
0 0 1 37		0.8825 -8.1
0 0 1 38		1.0046 -4.9
0 0 1 39		1.0069 -4.6
0 0 1 40		1.0085 -4.8
0 0 1 41		0.9050 -10.7
0 0 1 42		0.9946 -4.9
0 0 1 43		1.0208 -13.0
0 0 1 44		1.0124 -8.9
0 0 1 45		1.0124 -8.9
0 0 1 46		0.8725 -12.8
0 0 1 47		0.9973 -5.2
0 0 1 48		1.0156 -9.2
0 0 1 49		1.0072 -5.5
0 0 1 50		0.9066 -12.5
0 0 1 51		1.0164 -8.8
0 0 1 52		1.0162 -5.4
0 0 1 53		1.0165 -6.2
0 0 1 54		0.8931 -11.3
0 0 1 55		1.0113 -3.8
0 0 1 56		1.0113 -3.8
0 0 1 57		1.0138 -8.3
0 0 1 58		1.0275 -7.4
0 0 1 59		0.9305 -18.4
0 0 1 60		1.0285 -5.4
0 0 1 61		1.0268 -4.1
0 0 1 62		1.0260 -8.3
0 0 1 63		0.9057 -8.0
0 0 1 64		1.0088 0.3
0 0 1 65		1.0149 -3.7
0 0 1 66		1.0372 -8.1
0 0 1 67		0.9270 -6.0
0 0 2 0		1.0746 -2.4
0 0 2 1		1.0471 -2.7
0 0 2 2		0.9650 -7.0
0 0 2 3		1.0446 -5.4
0 0 2 4		1.0666 -3.5
0 0 2 5		1.0463 -9.3
0 0 2 6		0.9503 -12.2
0 0 2 7		1.0400 -4.9
0 0 2 8		1.0690 -5.9
0 0 2 9		1.0384 -11.9
0 0 2 10		0.9578 -10.0
0 0 2 11		0.9578 -10.0
0 0 2 12		1.0556 -14.5
0 0 2 13		1.0609 -9.8
0 0 2 14		1.0425 -9.4
0 0 2 15		0.9242 -8.9
0 0 2 16		1.0492 -11.0
0 0 2 17		1.0715 -8.9
0 0 2 18		1.0331 -10.6
0 0 2 19		0.9349 -11.0
0 0 2 20		1.0434 -10.1
0 0 2 21		1.0694 -7.9
0 0 2 22		1.0694 -7.9
0 0 2 23		1.0313 -9.3
0 0 2 24		0.9365 -10.9
0 0 2 25		1.0347 -5.9
0 0 2 26		1.0725 -7.2
0 0 2 27		1.0354 -9.2
0 0 2 28		0.9420 -8.2
0 0 2 29		1.0338 -2.9
0 0 2 30		1.0621 -5.0
0 0 2 31		1.0380 -3.9
0 0 2 32		0.9213 -4.8
0 0 2 33		1.0324 -4.1
0 0 2 34		1.0617 -0.6
0 0 2 35		1.0415 -6.7
0 0 2 36		0.9291 -0.0
0 0 2 37		1.0347 -3.6
0 0 2 38		1.0685 -7.3
0 0 2 39		1.0336 -9.3
0 0 2 40		0.9165 -7.4
0 0 2 41		1.0255 -3.9
0 0 2 42		1.0600 -7.8
0 0 2 43		1.0190 -3.3
0 0 2 44		0.9351 -10.8
0 0 2 45		0.9351 -10.8
0 0 2 46		1.0337 -9.0
0 0 2 47		1.0628 -8.6
0 0 2 48		1.0268 -6.4
0 0 2 49		0.9105 -10.7
0 0 2 50		1.0304 -8.7
0 0 2 51		1.0685 -9.7
0 0 2 52		1.0332 -6.9
0 0 2 53		0.9574 -19.1
0 0 2 54		1.0354 -9.2
0 0 2 55		1.0087 -7.9
0 0 2 56		1.0087 -7.9
0 0 2 57		1.0375 -11.3
